code,name,mktcap_raw,market_cap_yuan
300113,顺网科技,1516194.570618,15161945706.18
002759,天际股份,1515679.614915,15156796149.15
002372,伟星新材,1514028.126588,15140281265.88
300229,拓尔思,1513985.075156,15139850751.56
600475,华光环能,1511381.817549,15113818175.49
603093,南华期货,1510093.174872,15100931748.72
300428,立中集团,1508964.998153,15089649981.529999
300855,图南股份,1508952.6725,15089526725.000002
301678,新恒汇,1508001.664765,15080016647.650002
600872,中炬高新,1507193.865408,15071938654.08
002010,传化智联,1506396.84486,15063968448.6
601369,陕鼓动力,1506316.706008,15063167060.08
002361,神剑股份,1505488.355927,15054883559.27
688327,云从科技,1503818.25696,15038182569.599998
301603,乔锋智能,1503703.52,15037035200.0
002881,美格智能,1503696.3383,15036963383.0
000069,华侨城Ａ,1503060.755911,15030607559.11
600710,苏美达,1502761.8491,15027618491.0
301629,矽电股份,1502181.864,15021818640.0
301216,万凯新材,1502134.426533,15021344265.33
300034,钢研高纳,1499084.700003,14990847000.03
002182,宝武镁业,1498597.036583,14985970365.830002
002408,齐翔腾达,1495340.576482,14953405764.82
002782,可立克,1494835.535182,14948355351.82
000880,潍柴重机,1494520.96248,14945209624.8
000070,特发信息,1494504.265229,14945042652.29
301363,美好医疗,1493855.71868,14938557186.8
688185,康希诺,1491897.514239,14918975142.39
301039,中集车辆,1491803.03832,14918030383.2
600258,首旅酒店,1491781.776336,14917817763.36
301529,福赛科技,1490008.050288,14900080502.88
600764,中国海防,1488057.934284,14880579342.84
601019,山东出版,1487959.7,14879597000.0
601083,锦江航运,1486943.88,14869438799.999998
688059,华锐精密,1486603.266624,14866032666.24
002911,佛燃能源,1486411.32535,14864113253.5
688612,威迈斯,1486021.80741,14860218074.099998
600056,中国医药,1485408.589764,14854085897.64
300990,同飞股份,1482735.6694,14827356694.0
600167,联美控股,1482160.503265,14821605032.65
688125,安达智能,1481313.083172,14813130831.72
301150,中一科技,1480099.581582,14800995815.82
002208,合肥城建,1478057.08496,14780570849.599998
601568,北元化工,1477666.667328,14776666673.28
300682,朗新科技,1475026.603128,14750266031.279999
002755,奥赛康,1474846.797739,14748467977.390001
300863,卡倍亿,1473416.79588,14734167958.800001
600184,光电股份,1472552.311636,14725523116.359999
603267,鸿远电子,1471754.201148,14717542011.480001
