code,name,market_cap
300229,拓尔思,14580733355.080002
300236,上海新阳,31247334475.63
300244,迪安诊断,11124633960.800001
300251,光线传媒,37667275466.880005
300253,卫宁健康,17852320388.61
300255,常山药业,35264365888.86
300257,开山股份,28994269825.24
300260,新莱应材,24872133804.48
300263,隆华科技,13289480917.68
300274,阳光电源,386467341547.84
300276,三丰智能,11978917564.5
300277,汽轮科技,24932982336.6
300285,国瓷材料,51527456092.32
300296,利亚德,18685523059.58
300302,同有科技,22765030405.0
300303,聚飞光电,12892930295.7
300304,云意电气,12223760554.56
300308,中际旭创,1218880328484.4001
300315,掌趣科技,11967640633.26
300316,晶盛机电,69012431101.90001
300319,麦捷科技,13127431311.96
300322,硕贝德,15806910937.08
300323,华灿光电,26730790186.589996
300327,中颖电子,10094315986.04
300328,宜安科技,13173282288.0
300331,苏大维格,14190543929.900002
300337,银邦股份,10849702459.199999
300339,润和软件,33258116720.16
300342,天银机电,22497108531.089996
300346,南大光电,39188596400.1
300347,泰格医药,34208564966.5
300353,东土科技,13337026588.890001
300357,我武生物,11545027200.0
300364,中文在线,18285352961.8
300373,扬杰科技,61604772090.060005
300376,易事特,12572498570.4
300377,赢时胜,10183601764.800001
300382,斯莱克,10951475898.66
300383,光环新网,25759505497.51
300390,天华新能,71876558177.76
300393,中来股份,10580281646.179998
300394,天孚通信,324910045677.0
300395,菲利华,73587515125.7
300398,飞凯材料,22161936730.5
300408,三环集团,245924942646.72
300409,道氏技术,18218578115.37
300413,芒果超媒,32269934058.75
300415,伊之密,10842526623.76
300418,昆仑万维,54225192788.909996
300428,立中集团,15021091826.23
300432,富临精工,40606805747.5
300433,蓝思科技,215425414904.69998
300436,广生堂,17681822340.0
300438,鹏辉能源,38898374860.8
300442,润泽科技,139621971441.38998
300444,双杰电气,12206086765.300001
300446,航天智造,14152165258.140001
300450,先导智能,84447729130.95999
300454,深信服,46112085026.75
300455,航天智装,16487129489.92
300456,赛微电子,32788504140.519997
300457,赢合科技,18148897309.64
300458,全志科技,36956034731.979996
300459,汤姆猫,13676504552.710001
300468,四方精创,13117650078.0
300469,信息发展,12089230728.800001
300474,景嘉微,32710737167.57
300475,香农芯创,87992127135.79999
300476,胜宏科技,364396952964.14
300480,光力科技,12809701960.0
300487,蓝晓科技,30313928622.64
300489,光智科技,18688897240.5
300496,中科创达,32254905447.04
300498,温氏股份,89029548491.58
300499,高澜股份,12521296095.28
300502,新易盛,681074472572.16
300503,昊志机电,23631747605.949997
300520,科大国创,10518957268.36
300529,健帆生物,14287048369.750002
300548,长芯博创,66012065619.200005
300558,贝达药业,20599128953.28
300567,精测电子,58780229940.24
300568,星源材质,22271511075.45
300570,太辰光,35772481552.5
300573,兴齐眼药,14107104696.720001
300576,容大感光,16937172853.560001
300580,贝斯特,12638440691.92
300593,新雷能,20365392526.26
300595,欧普康视,10644987672.47
300596,利安隆,10893157002.48
300601,康泰生物,14095659893.82
300602,飞荣达,25852192239.33
300604,长川科技,138506271808.48
300607,拓斯达,15310814425.2
300613,富瀚微,14494520487.039999
300617,安靠智电,11544852950.88
300618,寒锐钴业,12062701694.449999
300620,光库科技,69491470389.59999
300623,捷捷微电,30895127392.469997
300624,万兴科技,11428110111.64
300627,华测导航,22111677873.100002
300628,亿联网络,47444941406.450005
300634,彩讯股份,11302833045.0
300638,广和通,19963701736.8
300655,晶瑞电材,17875763333.399998
300657,弘信电子,20794079111.98
300660,江苏雷利,20130087390.96
300661,圣邦股份,75958170030.76
300666,江丰电子,52798815917.0
300671,富满微,10741671039.199999
300672,国科微,77331893402.4
300674,宇信科技,11954888878.800001
300676,华大基因,15306221774.249998
300677,英科医疗,28337721222.64
300679,电连技术,23182427400.000004
300682,朗新科技,14221930478.990002
300684,中石科技,18614498209.45
300687,赛意信息,11362010990.2
300693,盛弘股份,16650121658.29
300699,光威复材,26129393360.0
300718,长盛轴承,22713181860.600002
300720,海川智能,11912846659.279999
300723,一品红,18555538827.28
300724,捷佳伟创,29657064310.9
300726,宏达电子,25966502227.250004
300731,科创新源,11589342702.08
300735,光弘科技,19944696606.65
300738,奥飞数据,22255454276.01
300739,明阳电路,14120339486.169998
300747,锐科激光,20032272000.0
300748,金力永磁,46261068058.11
300750,宁德时代,1897516504615.3
300751,迈为股份,72096102892.0
300757,罗博特科,108303333084.87
300759,康龙化成,45968836372.560005
300760,迈瑞医疗,181114495435.72
300761,立华股份,16603056981.029999
300762,上海瀚讯,22832835469.920002
300763,锦浪科技,47604154454.7
300765,新诺威,36940794427.200005
300768,迪普科技,10713315208.960001
300769,德方纳米,18775399890.3
300772,运达股份,12510878509.500002
300773,拉卡拉,19455456797.100002
300775,三角防务,14055633271.550001
300776,帝尔激光,45389244641.5
300777,中简科技,15789897653.669998
300779,惠城环保,18463628188.670002
300782,卓胜微,64847032281.08
300790,宇瞳光学,12491832775.59
300803,指南针,56820410639.7
300806,斯迪克,36472558471.380005
300811,铂科新材,35738576848.8
300814,中富电路,29208409540.559998
300819,聚杰微纤,10732315650.0
300820,英杰电气,13853029988.64
300821,东岳硅材,19932000000.0
300827,上能电气,19801519465.030003
300832,新产业,37235213221.15
300835,龙磁科技,21929622606.0
300842,帝科股份,13801575585.0
